reagent_ID	reagent_type	name	identity	source	additional_information	experiment
Dmel_001	Strain(Drosophila melanogaster)	Gr66a-GFP, uas-cd8YFP	genotype-:w[*]; P{Gr66a-GFP.IRES.GFP.IRES.GFP};flybase_Identificators-:FBtp0020702;	source-:cross;sharable-:yes	comments-:cross;derived_from-:Dmel_002, Dmel_003	NA
Dmel_002	Strain(Drosophila melanogaster)	Gr66a-GFP	genotype-:w[*]; P{Gr66a-GFP.IRES.GFP.IRES.GFP};flybase_Identificators-:FBtp0020702	source-:Thum, Adreas;sharable-:no		NA
Dmel_003	Strain(Drosophila melanogaster)	uas-cd8YFP	genotype-:w[*]; P{UAS-mCD8.ChRFP}2;flybase_Identificators-:FBti0115768;FBti0115768	source-:BDRC;RRID_source-:RRID:SCR_006457;sharable-:no	flybase_stocknumber-:FBst0027391	NA
Dmel_004	Strain(Drosophila melanogaster)	Wg/Cyo;Gr5a_Gal4/tm3	genotype-:w*; wgSp-1/[CyO; P{Gr5a-GAL4.8.5}2]/TM3, Sb[1];flybase_Identificators-:FBti0162726	source-:BDRC;RRID_source-:RRID:SCR_006457;sharable-:yes	flybase_stocknumber-:FBst0057591	NA
Dmel_006	Strain(Drosophila melanogaster)	Gr5a_Gal4	genotype-:w*; P{Gr5a-GAL4.8.5}2]/TM3, Sb[1];flybase_Identificators-:FBti0162726;FBba0000047	source-:cross;sharable-:yes	derived_from-:Dmel_004	NA
Antibody_001	antibodies	Rat:anti-GFP	antibody_ID-:AB_10773374;Antibody_Name-:anti-Green Fluorescent Protein (GFP) antibody	Vendor-:Antibodies-Online;Cat_Num-:ABIN398304	Target_Antigen-:anti-Green Fluorescent Protein (GFP) antibody;Proper_Citation-:(Antibodies-Online Cat# ABIN398304, RRID:AB_10773374);Reference-:PMID:28431247, PMID:29398448, PMID:29625034;Clonality-:monoclonal antibody;Host_Organism-:rat;Comments-:manufacturer recommendations: IgG2a; IgG2a Western Blotting (WB),ELISA; ELISA; Western Blot;v_uuid-:6fdf468e-c635-5bef-b192-76c4e64f8391	NA
Antibody_002	antibodies	Rabbit:anti-YFP	antibody_ID-:AB_1287717;Antibody_Name-:YFP Antibody	Vendor-:BioVision;Cat_Num-:3991-100	Target_Antigen-:YFP c elegans/worm, chemical, porcine, sheep, guinea pig, other invertebrate, reptile, donkey, goat, mollusc, mouse, non-human primate, rat, amoeba/protozoa, bacteria/archaea, bovine, chicken/bird, zebrafish/fish, hamster, plant, horse, human, rabbit, canine, drosophila/arthropod, feline, other mammalian, all;Proper_Citation-:(BioVision Cat# 3991-100, RRID:AB_1287717);Clonality-:polyclonal antibody;Host_Organism-:rabbit;Comments-:manufacturer recommendations: IgG Western blot, Western blotting (0.5-4 µg/ml), immunoprecipitation (10-20 µg/ml) and immunofluorescence. However, the optimal conditions should be determined individually.; Immunoprecipitation; Immunofluorescence; Western Blot;v_uuid-:5ff77058-aadc-5116-a9f6-ee283d395cba	NA
Antibody_003	antibodies	mouse:antirat-alex488	antibody_ID-:AB_2129901;Antibody_Name-:Mouse Anti-Rat CD49d Monoclonal antibody, Alexa fluor?? 488 Conjugated, Clone MRalpha4-1	Vendor-:Bio-Rad / AbD Serotec;Cat_Num-:MCA2872A488T	Target_Antigen-:Rat CD49d rat, rat;Proper_Citation-:(Bio-Rad / AbD Serotec Cat# MCA2872A488T, RRID:AB_2129901);Clonality-:monoclonal antibody;Clone_ID-:Clone MRalpha4-1;Host_Organism-:mouse;Comments-:manufacturer recommendations: Flow Cytometry; Flow Cytometry;v_uuid-:663a06d3-13c4-5ea1-835e-df381db66615	NA
Antibody_004	antibodies	Antirabbit-alexa647	antibody_ID-:AB_2721062;Antibody_Name-:Anti-Rabbit IgG Antibody, Alexa Fluor(R) 647 Conjugated	Vendor-:Sigma-Aldrich;Cat_Num-:AP182SA6	Target_Antigen-:IgG rabbit;Proper_Citation-:(Sigma-Aldrich Cat# AP182SA6, RRID:AB_2721062);Clonality-:polyclonal antibody;Host_Organism-:donkey;Comments-:application(s): Immunofluorescence;v_uuid-:97ec08f0-45f1-5f20-8a6e-f15047419822	NA
